cultura,especie,fazenda,E1_RRLII,E2_TIR,E3_PRC,E4_RBC,E5_VPL,E6_LL,E9_R,E10_PPA,E11_TR,E12_DP,E13_DM,A2_DA,A3_UE,A5_UN,A6_UF,A7_EUE,A8_EUN,A9_EUF,A11_PEPN,A12_PPO,A13_PS,A14_PAG,A22_REC,A4_EUC,S1_DEL,S2_UMOL,S3_RTUP,S4_EDGI,S6_PA,S7_PA,S8_TRUAO,S9_TRUP,S10_SLT,S11_CLP,S13_CPT,S14_DR,S15_APS,S16_E,S17_PAC,S18_IG,S19_IR,S20_IE
Carcinicultura,M. rosenbergii - Espírito Santo-,1,53,28.1,3.8,1.53,327136.46,28991.7,32716,17,18,1,2,70270,49158.96,102.04,20.34,74.46,32.68,20.2,,,,843.36,4,,22,67,4.94,,33,12.33,461,0.27,0,50,15,0.1,33,0,0,49.7,,
Carcinicultura,P. vannamei - Sergipe - Semi intensivo,2,471.23,159.1,1.26,36.59,2324206.063,268911.9853,275900.416,12,1,2,2,21933.98,26561.44175,80.36,48.44,31.51,44.67,21.97,11.07,27.9,,846.8932039,5,27.71,1.3,100,44.22,0.0000332,25,20,0.84,6.51,58.82,0.00416,34.04,0.79,0,25,0,77.27,11.48,52.16
Carcinicultura,L. vannamei - Aquafort,3,73.35,46.1,2.61,5.054,179624.556,21528.786,24181.338,30,1,3,6,21127,30916,73.96,42.82,19.64,37.02,17.49,28.99,64.78,548,-656.52,4,23.45,3.28,97.3,1.36,34.2,1.77,30,100,3.07,100,10,14.8,0.03,0.03,11,0,58.57,76.94,42.67
Carcinicultura,L. vannamei - Northern,4,78.2,38.9,3.05,5.092,228461.472,24539.108,32613.994,20,1,1,4,19571.43,32900.92,82.52,49.36,16.96,33.06,13.62,36.82,170.43,717.5,-636.2,4,21.85,2.44,100,2.9,64.6,3.17,20,356,4.17,100,10,21.4,0.15,0.04,0,0,57.24,79.96,46.77
Carcinicultura,L. vannamei - Aquacrusta,5,143.02,74.5,1.82,10.602,382963.012,43577.678,48154.74,40,1,2,5,13357.14,24585.02,75.22,64.11,24.27,31.56,11.78,6.44,55.86,718.42,-34.96,4,21.63,1.44,100,1.1,41.8,2.94,40,119,2.01,100,10,13.73,0.03,0.03,3.33,0,58.19,77.15,46.74
Carcinicultura,L. vannamei  - HM,6,89.76,54.1,2.27,6.422,244552.192,24869.1,31801.326,8,1,1,4,13246.75,26648.77,75.48,57.67,22.74,38.78,15.86,43.96,147.86,379.67,-368.18,4,22.95,2.75,100,2.01,34.2,6.06,8,159,1.94,100,10,22.54,0.07,0.15,0,0,55.57,81.63,46.77
Carcinicultura,L. vannamei - Ilha,7,119.45,57.4,2.25,8.512,430309.492,38127.566,56427.416,17,1,1,4,9107.14,28785.68,85.88,59.15,20.96,39.47,15,12.21,94.35,666.39,364.19,4,24.25,1.35,100,2.42,26.6,10,17,177,1.45,100,10,22.86,0.12,0.12,0,0,64.14,77.81,53.39
Carcinicultura,L. vannamei -Carpixe,8,252.23,108.9,1.27,19.114,1062736.006,88159.012,130877.13,25,0.91,1,4,4232.8,25370.29,80.3,62.37,23.86,36.88,12.63,9.61,53.87,255.52,282.2,4,21.73,1.15,100,3.88,34.2,25,25,302,0.57,100,5,41.34,0.15,0.3,0,0,52.24,71.63,45.41
Carcinicultura,L. vannamei  -Marinus,9,191.74,77.7,1.77,14.212,818049.56,71855.834,102943.52,15,0.91,1,2,3595.24,26770.38,65.53,52.5,22.7,37.24,16.2,8.89,54.36,198.76,366.12,4,24.69,1.83,100,3.11,34.2,12.5,15,276,1.41,100,5,31.03,0.13,0.33,0,0,68.3,68.01,45.05
Carcinicultura,L. vannamei -Aquabrasilis,10,321.08,128.9,1.11,24.852,2336555.894,196929.11,281852.232,20,0.91,1,3,2267.86,25850.06,87.71,77.13,26.71,34.95,14.02,7.11,24.46,151.83,283.55,4,22.43,0.69,100,1.48,26.6,18,20,243,0.18,100,0,16.37,0.05,0.33,0,0,64.74,71.63,55.11
