cultura,cultivo,fazenda,E1_RRLII,E2_TIR,E3_PRC,E4_RBC,E5_VPL,E6_LL,E9_R,E10_PPA,E11_TR,E12_DP,E13_DM,A2_DA,A3_UE,A5_UN,A6_UF,A7_EUE,A8_EUN,A9_EUF,A11_PEPN,A12_PPO,A19_AF,A20_AMO,A22_REC,A1_PRC,A2_PRN,A3_PRF,A4_EUC,S1_DEL,S2_UMOL,S3_RTUP,S3_RTUP,S4_EDGI,S6_PA,S7_PA,S8_TRUAO,S9_TRUP,S10_SLT,S11_CLP,S13_CPT,S14_DR,S15_APS,S16_E,S17_PAC,S18_IG,S19_IR,S20_IE
Carcinicultura,M. rosenbergii - Espirito Santo-,1,11.24716168,17.66184789,29.21052632,4.181470347,14.00079753,10.78111114,11.60750077,42.5,9.1,33.33333333,33.33333333,3.227351644,0.045566464,64.21991376,77.87610619,100,73.1587195,91.9435594,53.66666667,69.88571429,20,21.11111111,100,91.38919351,85.36640116,80.58820888,0,100,67,11.17141565,13.84879003,9.693103845,100,30.825,100,4.147465438,0,100,30,12.65822785,100,0,0,64.31991717,76,87.09853021
Carcinicultura,P. vannamei - Sergipe - Semi intensivo,2,100,100,88.0952381,100,99.47145151,100,97.88832043,30,0,66.66666667,33.33333333,10.33948239,0.084332772,81.54554505,32.70024773,42.3180231,100,100,58.17524842,87.6702509,18.18181818,20,80,72.02572347,65.43209877,62.557924,100,5.909090909,100,100,14.2115391,8.842070338,75.75757576,50,0.182212581,100,58.82,0.00832,68.08,100,0,100,0,100,11.48,94.6470695
Carcinicultura,L. vannamei - Aquafort,3,15.56564735,28.97548712,42.52873563,13.81251708,7.687577963,8.005885634,8.579438179,75,0,100,100,10.73441568,0.072454393,88.601947,36.99205979,26.37657803,82.87441236,79.60855712,22.21455674,37.75856746,8.695652174,6.365159129,100,92.1649304,93.05501366,87.54863813,84.62648863,14.90909091,97.3,3.075531434,3.897321121,1.949619586,5.363636364,75,21.69197397,47.15821813,100,20,29.6,3.797468354,0.090909091,44,0,75.79914585,76.94,77.42696425
Carcinicultura,L. vannamei - Northern,4,16.59486875,24.45003143,36.39344262,13.91637059,9.777701984,9.125330718,11.57130947,50,0,33.33333333,66.66666667,11.58760499,0.068083203,79.41105187,32.09076175,22.77733011,74.00940228,61.99362767,17.4904943,14.35193335,17.39130435,35.51401869,100,100,84.33521924,100,78.85239986,11.09090909,100,6.558118498,7.368028503,4.114376472,9.606060606,50,77.22342733,64.05529954,100,20,42.8,18.98734177,0.121212121,0,0,74.07790863,79.96,84.86663038
Carcinicultura,L. vannamei - Aquacrusta,5,30.3503597,46.82589566,60.98901099,28.97512982,16.39006424,16.20518251,17.08510153,100,0,66.66666667,83.33333333,16.97863465,0.091112393,87.11778782,24.70753393,32.59468171,70.65144392,53.61857078,100,43.78804153,100,33.92857143,100,95.01805054,100,88.93280632,78.05846265,6.545454545,100,2.487562189,5.094865883,2.881631966,8.909090909,100,25.81344902,30.87557604,100,20,27.46,3.797468354,0.090909091,13.32,0,75.30736379,77.15,84.81219379
Carcinicultura,L. vannamei - HM,6,19.04802326,34.00377121,48.89867841,17.55124351,10.46635318,9.248044475,11.28297824,20,0,33.33333333,66.66666667,17.1201238,0.084056412,86.81770005,27.46662043,30.53988719,86.81441683,72.18934911,14.64968153,16.5426755,5.405405405,10.88825215,100,94.42152466,81.12244898,73.44940152,82.82208589,12.5,100,4.545454545,4.037481287,2.309362614,18.36363636,20,34.49023861,29.80030722,100,20,45.08,8.860759494,0.454545455,0,0,71.91665588,81.63,84.86663038
Carcinicultura,L. vannamei - Ilha,7,25.34855591,36.0779384,49.33333333,23.26318666,18.41640053,14.17845544,20.02021258,42.5,0,33.33333333,66.66666667,24.90199997,0.07781647,76.30414532,26.77937447,28.14934193,88.35907768,68.27492035,52.74365274,25.92474828,6.896551724,12.5,100,91.07266436,80.7106599,73.52941176,87.51353302,6.136363636,100,5.472636816,2.996278697,1.708803354,30.3030303,42.5,38.39479393,22.2734255,100,20,45.72,15.18987342,0.363636364,0,0,83.00763556,77.81,96.87896933
Carcinicultura,L. vannamei - Carpixe,8,53.52587908,68.44751728,87.4015748,52.23831648,45.48301236,32.78359345,46.43466155,62.5,9.1,33.33333333,66.66666667,53.57824608,0.088292251,81.60647572,25.3968254,32.0440505,82.56100291,57.48748293,67.01352758,45.40560609,9.523809524,24.83660131,100,90.2915952,79.76588629,84.79899497,78.4193432,5.227272727,100,8.774310267,3.927147375,3.359528577,75.75757576,62.5,65.50976139,8.755760369,100,10,82.68,18.98734177,0.909090909,0,0,67.60709202,71.63,82.39883869
Carcinicultura,L. vannamei - Marinus,9,40.68926002,48.8372093,62.71186441,38.84121345,35.01091337,26.72094883,36.52393287,37.5,9.1,33.33333333,33.33333333,63.07951625,0.083674569,100,30.17142857,30.48616707,83.36691292,73.73691397,72.44094488,44.99632082,7.01754386,20.65217391,100,91.90746399,96.75456389,78.57974389,89.10140743,8.318181818,100,7.033016735,4.024943927,2.683005111,37.87878788,37.5,59.86984816,21.65898618,100,10,62.06,16.4556962,1,0,0,88.39135499,68.01,81.74559971
Carcinicultura,L. vannamei - Aquabrasilis,10,68.13657874,81.01822753,100,67.92019678,100,73.23180846,100,50,9.1,33.33333333,50,100,0.086653571,74.71211948,20.53675613,35.87160892,78.24042982,63.81429222,90.5766526,100,50,100,100,86.0130719,77.03488372,61.70018282,80.94550704,3.136363636,100,3.346901854,3.06269583,2.064260088,54.54545455,50,52.71149675,2.764976959,100,0,32.74,6.329113924,1,0,0,83.78413356,71.63,100
Carcinicultura,L. vannamei - Aquarium - baixa densid.,11,54.04579505,21.18164676,12.89198606,9.319486198,5.182177765,6.461344585,15.21808066,47.5,27,33.33333333,100,2.53086778,51.02505695,87.5133547,100,28.20306205,76.11372286,45.51661356,10.15292448,58.23809524,5.714285714,0.049350649,100,96.58715596,92.01388889,91.83673469,80.51245038,10.90909091,60,19.10900045,71.39761647,71.42857143,60.60606061,50,0.31670282,0.460829493,67,0,94,88.60759494,0,60,100,78.94396273,100,90.72763564
Carcinicultura,L. vannamei - Aquarium - alta densis,12,0,0,13.875,0,-52.78272449,-48.85053742,26.36115367,47.5,27,33.33333333,100,5.73357941,100,42.83006536,48.81355932,29.546065,76.11372286,45.51661356,12.18082088,36.50746269,8,0.111764706,100,94,87.75910708,77.5862069,79.9109828,10,50,19.10900045,100,100,75.75757576,50,0.253796095,0.153609831,67,0,100,88.60759494,0,60,100,78.94396273,100,90.72763564
Carcinicultura,L. vannamei - Aquarium-  bifasico,13,32.66133311,18.15839095,17.50788644,6.094561356,1.637889772,3.485973297,14.19649215,47.5,27,33.33333333,100,2.183132623,33.68421053,57.99115044,66,26.86005909,76.11372286,45.51661356,11.10344828,41.45762712,1.212121212,0.140740741,100,93.16814159,86.41304348,86.53846154,82.79802719,8.181818182,60,19.10900045,100,98.4,60.60606061,50,0.31670282,0.460829493,67,0,94,88.60759494,0,60,100,78.94396273,100,90.72763564
